course_id,title,description,category,difficulty,skills
C01,Modern JavaScript from Beginning to Master,"Learn key concepts in Web Development covering JavaScript,ES6,DOM.",Web Development,Beginner,"JavaScript,ES6,DOM"
C02,React 18 & Redux Toolkit Masterclass,"Learn key concepts in Web Development covering React,Redux,JavaScript,Frontend.",Web Development,Intermediate,"React,Redux,JavaScript,Frontend"
C03,Node.js Microservices & Express Deep Dive,"Learn key concepts in Backend Development covering Node.js,Express,API,Backend.",Backend Development,Advanced,"Node.js,Express,API,Backend"
C04,Fullstack Web Development with PERN Stack,"Learn key concepts in Web Development covering PostgreSQL,Express,React,Node.js.",Web Development,Intermediate,"PostgreSQL,Express,React,Node.js"
C05,Advanced HTML5 & CSS3 Responsive UI,"Learn key concepts in Web Development covering HTML,CSS,Responsive Design.",Web Development,Beginner,"HTML,CSS,Responsive Design"
C06,Python Programming Masterclass,"Learn key concepts in Programming Languages covering Python,OOP,Data Structures.",Programming Languages,Beginner,"Python,OOP,Data Structures"
C07,Data Analysis with Pandas and NumPy,"Learn key concepts in Data Science covering Python,Pandas,NumPy,EDA.",Data Science,Intermediate,"Python,Pandas,NumPy,EDA"
C08,Machine Learning A-Z: Hands-on Scikit-Learn,"Learn key concepts in Machine Learning covering Python,Scikit-Learn,ML,Algorithms.",Machine Learning,Intermediate,"Python,Scikit-Learn,ML,Algorithms"
C09,Deep Learning & PyTorch Specialization,"Learn key concepts in Machine Learning covering Python,PyTorch,Neural Networks,AI.",Machine Learning,Advanced,"Python,PyTorch,Neural Networks,AI"
C10,Generative AI & LLM Application Building,"Learn key concepts in Artificial Intelligence covering Python,LangChain,LLM,GenAI,API.",Artificial Intelligence,Advanced,"Python,LangChain,LLM,GenAI,API"
C11,SQL & PostgreSQL Database Administration,"Learn key concepts in Databases covering SQL,PostgreSQL,Database Design.",Databases,Beginner,"SQL,PostgreSQL,Database Design"
C12,MongoDB & NoSQL Architectural Patterns,"Learn key concepts in Databases covering MongoDB,NoSQL,Database Design.",Databases,Intermediate,"MongoDB,NoSQL,Database Design"
C13,AWS Certified Solutions Architect Associate,"Learn key concepts in Cloud Computing covering AWS,Cloud,EC2,S3,IAM.",Cloud Computing,Intermediate,"AWS,Cloud,EC2,S3,IAM"
C14,Docker & Kubernetes DevOps Bootcamp,"Learn key concepts in DevOps covering Docker,Kubernetes,CI/CD,DevOps.",DevOps,Intermediate,"Docker,Kubernetes,CI/CD,DevOps"
C15,Google Cloud Platform (GCP) Essentials,"Learn key concepts in Cloud Computing covering GCP,Cloud,BigQuery.",Cloud Computing,Beginner,"GCP,Cloud,BigQuery"
C16,Ethical Hacking & Penetration Testing,"Learn key concepts in Cybersecurity covering Ethical Hacking,Network Security,Linux.",Cybersecurity,Intermediate,"Ethical Hacking,Network Security,Linux"
C17,Web Application Security & OWASP Top 10,"Learn key concepts in Cybersecurity covering Web Security,OWASP,Penetration Testing.",Cybersecurity,Advanced,"Web Security,OWASP,Penetration Testing"
C18,Figma UI/UX Design Essentials,"Learn key concepts in Design covering Figma,UI/UX,Wireframing,Prototyping.",Design,Beginner,"Figma,UI/UX,Wireframing,Prototyping"
C19,User Research & Interaction Design,"Learn key concepts in Design covering User Research,Usability Testing,UX.",Design,Intermediate,"User Research,Usability Testing,UX"
C20,Flutter & Dart Mobile App Development,"Learn key concepts in Mobile Development covering Flutter,Dart,Cross-Platform,Mobile.",Mobile Development,Intermediate,"Flutter,Dart,Cross-Platform,Mobile"
C21,iOS Development with Swift & SwiftUI,"Learn key concepts in Mobile Development covering Swift,SwiftUI,iOS,Mobile.",Mobile Development,Intermediate,"Swift,SwiftUI,iOS,Mobile"
